,Host_Year,Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,1962,Chile,4110000000.0,4609727272.72727,5416272727.27273,5668187500.0,5982347826.08696,6026593750.0,7072641025.641029,7013196078.431371,7167086956.521741,8377093023.25581,9126309734.513279,10884114754.0984,11853817307.6923,16836261173.1844,16210404183.5358,7622217352.342159,10341925249.0421,13962893421.5413,15989933708.1491,21803696985.2349,29036709871.7949,34509878043.5897,25325893205.657,20355959237.2128,19622527479.6913,17702885393.5099,18891048818.7426,22255407684.6999,26040229793.0697,29885685142.9107,33113887817.9731,37834793730.3133,45964327558.8836,49297773130.1185,57008425295.8256,73447063319.3034,78039572221.6024,84952360922.4679,81577430181.4074,75173794497.0321,77860932151.8471,70979923960.3742,69736811435.1032,75643459839.6008,99210392857.6116,122964812046.07301,154788024805.808,173605968179.255,179638496278.57397,172389498444.621,218537551220.071,252251992029.442,267122320056.702,278384332694.313,260990299051.11603,242517905161.66397,247027912574.35
1,1966,United Kingdom,72328047042.1588,76694360635.9159,80601939635.2483,85443766670.4279,93387598813.9269,100595782309.165,107090721447.05699,111185383409.521,104702736248.084,112676874821.987,130671946244.3,148113896325.14,169965034965.035,192537971582.558,206131369798.971,241756637168.142,232614555256.065,263066457352.172,335883029721.956,438994070309.19104,564947710899.3729,540765675241.15796,515048916841.37,489618008185.539,461487097632.349,489285164271.04706,601452653180.885,745162608269.325,910122732123.7991,926884816753.927,1093169389204.55,1142797178130.51,1179659529659.53,1061388722255.55,1140489745944.29,1335218557677.13,1408781591263.65,1552483628028.81,1638511096389.53,1665623685487.79,1647951278559.54,1621510004318.41,1768408273381.29,2038395102040.82,2398555474185.28,2520701818181.82,2692612695492.18,3074359743897.56,2890564338235.29,2382825985355.97,2441173394729.62,2619700404733.37,2662085168498.93,2739818680930.19,3022827781881.39,2885570309160.86,2650850178102.14
2,1970,Mexico,13056168000.0,14153952000.0,15221056000.0,16936336000.0,20070136000.0,21829712000.0,24337232000.0,26556376000.0,29363632000.0,32515752000.0,35541712000.0,39200880000.0,45178120000.0,55271304000.0,71976544000.0,88003984000.0,89023915584.4156,81825783185.8407,102517451754.386,134540324561.404,194356826086.957,250083020408.163,173720851063.83,148866910907.577,175632157330.155,184473106267.03,129440194508.009,140263679436.947,183144268180.018,222977035953.68698,262709776007.964,314453890803.074,363609256195.677,503962832199.255,527318753518.414,343792792161.261,397404140458.45703,480554644187.66205,502010250656.743,579459682649.2621,683647965226.955,724703603502.3491,741559509631.317,713284231624.803,770267585947.1909,866345821213.261,965281191371.8441,1043471321169.09,1101275278668.79,894948748436.7479,1051128603513.77,1171187519660.64,1186598324461.82,1261981728468.52,1298461494903.14,1152263780657.86,1046922702460.87
3,1974,Germany,,,,,,,,,,,215021806498.156,249039217364.635,298667219346.133,396866742553.97,443618642959.716,488780155338.262,517787921003.573,598226205424.071,737668356280.428,878010536975.7759,946695355820.96,797443405711.813,773638200773.7571,767768378016.0859,722367608343.0691,729763282952.432,1042300769791.95,1293264353318.82,1395931548502.06,1393674332154.37,1764967948916.6,1861873895109.02,2123130870381.97,2068555542410.98,2205966011811.5,2591620035485.19,2503665193657.4,2218689375140.99,2243225519617.65,2199957383336.88,1949953934033.54,1950648769574.94,2079136081309.99,2505733634311.51,2819245095604.67,2861410272354.18,3002446368084.31,3439953462907.2,3752365607148.09,3418005001389.27,3417094562648.95,3757698281117.55,3543983909148.01,3752513503278.41,3890606893346.69,3375611100742.22,3477796274496.8
4,1978,Argentina,,,24450604877.6081,18272123664.4715,25605249381.7597,28344705966.6389,28630474727.9023,24256667553.2569,26436857247.4982,31256284543.6155,31584210365.5447,33293199095.4881,34733000536.2862,52544000116.9037,72436777342.4554,52438647921.9226,51169499890.7722,56781000100.9448,58082870156.2634,69252328953.3789,76961923741.9478,78676842366.4213,84307486836.724,103979106777.911,79092001998.032,88416668900.2596,110934442762.694,111106191358.19699,126206817196.091,76636898036.4712,141352368714.691,189719984268.485,228788617201.696,236741715015.015,257440000000.0,258031750000.0,272149750000.0,292859000000.0,298948250000.0,283523000000.0,284203750000.0,268696750000.0,97724004251.8602,127586973492.17699,164657930452.787,198737095012.28198,232557260817.308,287530508430.568,361558037110.419,332976484577.61896,423627422092.49,530163281574.65796,545982375701.128,552025140252.246,526319673731.63794,584711485367.2671,545476103427.247
5,1982,Spain,12072126075.397,13834300571.4849,16138545209.246,19074913947.7196,21343844643.7341,24756958694.9238,28721062242.1634,31647119228.1982,31475548481.4095,36038711599.541,40881655098.6451,46492797365.2695,58971806626.9739,78425934894.3461,97009800115.3735,114465300289.855,118185307386.22198,132089531434.83,160163483072.917,214019077342.588,232134606637.27103,202257045774.013,195464408602.151,170486866357.309,171635463361.62302,180302412230.92,250638463466.793,317882187036.787,375138723325.239,413630538018.271,535101248775.71,575598537069.656,629202392003.901,523649481762.322,529121577319.58795,612939685081.398,640998292394.588,588692045454.545,617041986858.225,633194118900.49,595402616546.895,625975838926.175,705145868624.13,906853273137.698,1069555500372.49,1157276458151.97,1264551499184.54,1479341637010.68,1635015380108.39,1499099749930.54,1431616749640.29,1488067258325.2,1336018949805.58,1361854206549.39,1376910811040.88,1197789902774.43,1237255019653.86
6,1986,Mexico,13056168000.0,14153952000.0,15221056000.0,16936336000.0,20070136000.0,21829712000.0,24337232000.0,26556376000.0,29363632000.0,32515752000.0,35541712000.0,39200880000.0,45178120000.0,55271304000.0,71976544000.0,88003984000.0,89023915584.4156,81825783185.8407,102517451754.386,134540324561.404,194356826086.957,250083020408.163,173720851063.83,148866910907.577,175632157330.155,184473106267.03,129440194508.009,140263679436.947,183144268180.018,222977035953.68698,262709776007.964,314453890803.074,363609256195.677,503962832199.255,527318753518.414,343792792161.261,397404140458.45703,480554644187.66205,502010250656.743,579459682649.2621,683647965226.955,724703603502.3491,741559509631.317,713284231624.803,770267585947.1909,866345821213.261,965281191371.8441,1043471321169.09,1101275278668.79,894948748436.7479,1051128603513.77,1171187519660.64,1186598324461.82,1261981728468.52,1298461494903.14,1152263780657.86,1046922702460.87
7,1990,Italy,40385288344.1911,44842760293.1924,50383891898.9911,57710743059.8341,63175417019.0094,67978153850.5191,73654870011.2757,81133120065.4202,87942231678.3505,97085082807.3751,113021271995.04301,124261125468.165,144780887782.205,174913182331.451,198906210777.017,226944777283.51102,223976030937.427,256746610489.357,314019078256.902,392378584945.234,475682506443.59,429282143246.466,425863251968.50397,441580962901.581,436443280912.497,450725816042.998,638273986102.0911,803055418882.5809,888667913418.625,925598068021.4509,1177326294440.85,1242109397533.95,1315806985860.17,1061445225790.57,1095590833693.56,1170787352906.22,1308929351236.04,1239050932241.93,1266309245009.48,1248563179203.07,1141759996314.72,1162317852348.99,1266510634293.24,1569649661399.55,1798314750434.57,1852661982340.5,1942633797516.0,2203053380782.92,2390729163615.06,2185160183384.27,2125058244242.92,2276292404600.52,2072823157059.76,2130491320658.68,2151732868243.21,1832868490534.11,1859383610248.72
8,1994,United States,543300000000.0,563300000000.0,605100000000.0,638600000000.0,685800000000.0,743700000000.0,815000000000.0,861700000000.0,942500000000.0,1019900000000.0,1075884000000.0,1167770000000.0,1282449000000.0,1428549000000.0,1548825000000.0,1688923000000.0,1877587000000.0,2085951000000.0,2356571000000.0,2632143000000.0,2862505000000.0,3210956000000.0,3344991000000.0,3638137000000.0,4040693000000.0,4346734000000.0,4590155000000.0,4870217000000.0,5252629000000.0,5657693000000.0,5979589000000.0,6174043000000.0,6539299000000.0,6878718000000.0,7308755000000.0,7664060000000.0,8100201000000.0,8608515000000.0,9089168000000.0,9660624000000.0,10284779000000.0,10621824000000.0,10977514000000.0,11510670000000.0,12274928000000.0,13093726000000.0,13855888000000.0,14477635000000.0,14718582000000.0,14418739000000.0,14964372000000.0,15517926000000.0,16155255000000.0,16691517000000.0,17427609000000.0,18120714000000.0,18624475000000.0
9,1998,France,62651474946.6007,68346741504.4257,76313782251.6964,85551113767.3727,94906593388.3107,102160571409.274,110597467198.645,119466139619.589,129847107787.88301,140725497222.27698,148948860281.091,166564460755.298,204283485045.51398,265381555686.506,286526186579.378,362000917852.226,373410270417.919,411464295266.114,508183139534.884,615834104224.484,703525302701.025,617589619794.81,586837009681.605,561852138738.2739,532648802822.187,555197109067.0171,774556302680.178,938368438284.405,1023504019381.13,1030122352457.33,1275300566196.84,1275563306592.26,1408724907063.2,1330094973361.13,1401636342155.01,1609892232882.11,1614245416078.98,1460709148123.17,1510758283299.98,1500275942893.67,1368438363736.87,1382218344519.02,1500337850555.24,1848124153498.87,2124112242364.04,2203678646934.46,2325011918203.49,2663112510265.54,2923465651091.26,2693827452070.02,2646837111794.78,2862680142625.14,2681416108537.39,2808511203185.39,2849305322684.76,2433562015516.21,2465453975282.24
